id,service_request_id,service_request_parent_id,date_requested,case_age_days,service_name,case_record_type,date_updated,status,lat,lng,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description,urgent
39984,2522790,,2019-02-27T15:39:00,5,72 Hour Violation,Parking,2019-03-04T00:00:00,Closed,32.7306,-117.226,2,30,Peninsula,,Web,,Abandoned car has been sitting in same spot on property for 12+ months. Light blue Ford 4-door Taurus older model. CA License 4TWK522,no
2,2475208,,2019-01-01T00:20:00,,Other,TSW,,Referred,32.7023,-117.093,4,11,Encanto Neighborhoods,,Mobile,This report has been referred to Police CRO ? Southeastern at sdpdsoutheastern@pd.sandiego.gov,Ongoing loud fireworks in area near El Rey Trailer Plaza off 47th between Imperial and Market.,no
3,2475209,,2019-01-01T00:21:00,15,Litter,ESD Complaint/Report,2019-01-15T00:00:00,Closed,32.7198,-117.06,4,11,Encanto Neighborhoods,,Mobile,,3 bags of garbage and one box,no
4,2475210,,2019-01-01T01:06:00,189,Street Sweeping,TSW,2019-07-09T00:00:00,Closed,32.70216,-117.052,4,44,Skyline-Paradise Hills,,Web,,North side of Skyline Drive from Cielo to Woodman needs to be cleaned and swept.It is full of leaves and trash.,yes
6,2475212,,2019-01-01T01:28:00,400,Street Light Out,TSW,,In Process,32.79611,-117.125,7,35,Serra Mesa,,Mobile,,Street light not working.,yes
7,2475213,,2019-01-01T01:40:00,9,72 Hour Violation,Parking,2019-01-09T00:00:00,Closed,32.84768,-117.218,1,99,University,,Web,,Vehicle was left by a tow truck and has not moved in over 1 week.,yes
8,2475214,,2019-01-01T05:43:00,175,Remove/Spray Weeds,TSW,2019-06-25T00:00:00,Closed,32.77458,-117.169,7,12,Linda Vista,,Mobile,,Tumbleweed located in the south direction of Ulric Street in Linda Vista area next to Barrier wall,no
10,2475216,,2019-01-01T07:05:00,2,Missed Collection,ESD Complaint/Report,2019-01-03T00:00:00,Closed,32.73216,-117.251,2,30,Peninsula,,Web,,Missed trash pick up,no
11,2475217,,2019-01-01T07:12:00,9,Container Left Out,ESD Complaint/Report,2019-01-10T00:00:00,Closed,32.7998,-117.107,7,47,Tierrasanta,,Mobile,,Containers left on street all week long.,no
15,2475221,,2019-01-01T07:48:00,2,72 Hour Violation,Parking,2019-01-03T00:00:00,Closed,32.69818,-117.086,4,11,Encanto Neighborhoods,,Web,,car been parked outside my house longer than 3 days. The people have over 7 cars trucks and vans i've spoke with them in the past about leaving there cars parked in front of my house for days but they continue to do it. I don't know what else to do,no
16,2475222,,2019-01-01T08:07:00,9,Shopping Cart,ESD Complaint/Report,2019-01-10T00:00:00,Closed,32.69509,-117.098,9,37,Southeastern San Diego,,Mobile,,Shopping carts,no
17,2475224,2473822,2019-01-01T08:23:00,1,72 Hour Violation,Parking,2019-01-02T00:00:00,Closed,32.74998,-117.242,2,23,Ocean Beach,,Web,,This is a tundra truck has been parked in front of my house since Dec. 26th. It has no plates. Parking is tough on our street without someone leaving their car for days at a time,no
18,2475225,,2019-01-01T08:27:00,51,Graffiti Removal,TSW,2019-02-21T00:00:00,Closed,32.74951,-117.118,9,56,Mid-City:City Heights,,Mobile,,,no
20,2475227,,2019-01-01T08:35:00,15,,Parking,2019-01-16T00:00:00,Closed,32.75345,-117.248,2,23,Ocean Beach,,Mobile,,Parking for a week,no
21,2475228,,2019-01-01T08:37:00,9,72 Hour Violation,Parking,2019-01-10T00:00:00,Closed,32.74601,-117.246,2,23,Ocean Beach,,Web,,Parked over a week,no
22,2475229,,2019-01-01T08:37:00,9,72 Hour Violation,Parking,2019-01-10T00:00:00,Closed,32.75345,-117.248,2,23,Ocean Beach,,Mobile,,Parking for over a week,no
23,2475230,,2019-01-01T08:44:00,9,72 Hour Violation,Parking,2019-01-10T00:00:00,Closed,32.78183,-117.157,7,35,Serra Mesa,,Mobile,,Car with expired tags abandoned in front of my house,no
26,2475233,,2019-01-01T08:57:00,8,72 Hour Violation,Parking,2019-01-09T00:00:00,Closed,32.71199,-117.146,8,37,Southeastern San Diego,,Mobile,,"This car has been parked, and hasn't moved, from in front of our home for 8 days. I checked with neighbors and nobody knows whose vehicle it is.",no
